Bin index,yH298-parent-pool2_normalized,yH298-parent-pool2_normalized rank
CP048241.1-72,40,800
CP048241.1-73,33,895
CP048241.1-74,67,485
CP048241.1-75,56,594
CP048241.1-76,56,595
CP048241.1-77,30,940
CP048241.1-78,92,296
CP048241.1-79,116,187
CP048241.1-80,9,1189
CP048241.1-81,37,838
CP048241.1-82,24,1022
CP048241.1-83,62,523
CP048241.1-84,67,486
CP048241.1-85,95,281
CP048241.1-86,56,596
CP048241.1-87,28,965
CP048241.1-88,55,606
CP048241.1-89,88,326
CP048241.1-90,46,719
CP048241.1-91,122,167
CP048241.1-92,146,111
CP048241.1-93,75,421
CP048241.1-94,95,282
CP048241.1-95,54,621
CP048241.1-96,8,1195
CP048241.1-97,27,985
CP048241.1-98,154,97
CP048241.1-99,44,749
CP048241.1-100,51,654
CP048241.1-101,22,1050
CP048241.1-102,73,435
CP048241.1-103,93,292
